timestamp,temperature,humidity,pressure_hi,pressure_lo,gas_hi,gas_lo,wind_speed,wind_direction,motor_voltage,motor_current,motor_power_raw,motor_control
2026-07-30 15:29:11,3391,5173,1,34187,1,34187,1,34187,10,7,83,1
2026-07-30 15:29:13,3391,5173,1,34187,1,34187,1,34187,10,11,122,1
2026-07-30 15:29:15,3391,5173,1,34187,1,34187,1,34187,10,11,126,1
2026-07-30 15:29:18,3391,5173,1,34187,1,34187,1,34187,10,11,127,1
2026-07-30 15:29:20,3391,5173,1,34187,1,34187,1,34187,10,10,105,1
2026-07-30 15:29:22,3391,5173,1,34187,1,34187,1,34187,10,11,125,1
2026-07-30 15:29:24,3391,5173,1,34187,1,34187,1,34187,10,11,120,1
2026-07-30 15:29:26,3391,5173,1,34187,1,34187,1,34187,10,10,112,1
2026-07-30 15:29:28,3391,5173,1,34187,1,34187,1,34187,10,11,124,1
2026-07-30 15:29:31,3391,5173,1,34187,1,34187,1,34187,10,10,110,1
2026-07-30 15:29:33,3391,5173,1,34187,1,34187,1,34187,10,11,115,1
2026-07-30 15:29:35,3391,5173,1,34187,1,34187,1,34187,10,8,88,1
2026-07-30 15:29:37,3391,5173,1,34187,1,34187,1,34187,10,11,126,1
2026-07-30 15:29:39,3391,5173,1,34187,1,34187,1,34187,10,7,82,1
2026-07-30 15:29:41,3391,5173,1,34187,1,34187,1,34187,10,11,117,1
2026-07-30 15:29:43,3391,5173,1,34187,1,34187,1,34187,10,11,127,1
2026-07-30 15:29:46,3391,5173,1,34187,1,34187,1,34187,10,7,78,1
2026-07-30 15:29:48,3391,5173,1,34187,1,34187,1,34187,10,10,114,1
2026-07-30 15:29:50,3391,5173,1,34187,1,34187,1,34187,10,11,125,1
2026-07-30 15:29:52,3391,5173,1,34187,1,34187,1,34187,10,10,113,1
2026-07-30 15:29:54,3391,5173,1,34187,1,34187,1,34187,10,11,116,1
2026-07-30 15:29:56,3391,5173,1,34187,1,34187,1,34187,10,7,78,1
